kind,task,machine_selectable,process_time,cost_count
0,0,"(6,)","(11,)","[[], [1]]"
0,1,"(5, 2, 3, 4, 9, 0, 11, 7, 6)","(15, 19, 11, 17, 19, 20, 15, 13, 13)","[[(0, 0)], [1]]"
0,2,"(6,)","(10,)","[[(0, 1)], [1]]"
0,3,"(2, 4)","(14, 11)","[[(0, 2)], [1]]"
0,4,"(1, 9, 0, 5, 11, 2, 8, 6, 3, 7, 4, 10)","(13, 15, 12, 15, 16, 10, 11, 12, 13, 10, 19, 20)","[[(0, 3)], [1]]"
0,5,"(3, 7, 2, 9, 8, 1, 11)","(18, 19, 20, 11, 10, 11, 20)","[[(0, 4)], [1]]"
1,0,"(0, 6, 4, 2, 5, 3, 11, 9, 7, 10, 1, 8)","(13, 19, 19, 11, 16, 11, 15, 11, 10, 19, 10, 13)","[[], [1]]"
1,1,"(1, 2, 11, 7, 9, 6, 8, 10, 4, 5, 3)","(12, 11, 17, 13, 10, 20, 10, 18, 16, 19, 11)","[[(1, 0)], [1]]"
1,2,"(9, 7, 10, 1, 0, 6, 5, 2, 3, 11, 8)","(14, 11, 13, 11, 20, 14, 15, 16, 12, 10, 18)","[[(1, 1)], [1]]"
1,3,"(11,)","(17,)","[[(1, 2)], [1]]"
1,4,"(8, 6, 3, 4, 11, 9, 1, 5, 7, 0)","(10, 19, 11, 16, 13, 14, 15, 17, 19, 12)","[[(1, 3)], [1]]"
1,5,"(0, 1, 4, 8, 5, 11, 3, 6)","(20, 13, 10, 20, 12, 12, 15, 18)","[[(1, 4)], [1]]"
2,0,"(7, 8, 6, 5, 0, 3)","(14, 11, 19, 17, 20, 12)","[[], [1]]"
2,1,"(1, 5, 4, 8)","(10, 17, 20, 16)","[[(2, 0)], [1]]"
2,2,"(1, 11, 7, 4, 6, 0, 5, 9, 10, 3, 2, 8)","(19, 18, 14, 20, 15, 16, 20, 14, 12, 18, 10, 17)","[[(2, 1)], [1]]"
2,3,"(6, 11, 1, 10, 7, 0)","(11, 15, 10, 18, 14, 12)","[[(2, 2)], [1]]"
2,4,"(2, 4, 3, 7, 1, 11, 5, 10, 0, 8, 9, 6)","(13, 17, 15, 19, 14, 20, 15, 19, 20, 19, 12, 14)","[[(2, 3)], [1]]"
2,5,"(2, 11)","(16, 16)","[[(2, 4)], [1]]"
3,0,"(4, 6, 3, 11)","(20, 11, 10, 19)","[[], [1]]"
3,1,"(10, 11, 4, 7, 2, 3, 0, 5, 8, 6)","(13, 15, 12, 13, 13, 20, 17, 16, 20, 19)","[[(3, 0)], [1]]"
3,2,"(1, 2, 4, 8)","(16, 10, 16, 19)","[[(3, 1)], [1]]"
3,3,"(4, 10, 0, 9)","(16, 20, 10, 12)","[[(3, 2)], [1]]"
3,4,"(4, 8, 1)","(17, 11, 14)","[[(3, 3)], [1]]"
3,5,"(3, 6, 9, 0, 8, 2, 4, 1, 5)","(12, 17, 18, 17, 18, 19, 10, 10, 17)","[[(3, 4)], [1]]"
4,0,"(3, 1, 10, 11, 9, 7, 6, 5)","(15, 14, 17, 10, 16, 13, 18, 20)","[[], [1]]"
4,1,"(2, 10)","(11, 12)","[[(4, 0)], [1]]"
4,2,"(0, 9)","(10, 16)","[[(4, 1)], [1]]"
4,3,"(0, 6, 1, 3, 10, 8)","(20, 16, 15, 10, 13, 10)","[[(4, 2)], [1]]"
4,4,"(0, 8, 9, 5, 3, 4, 2, 11, 10)","(10, 20, 18, 19, 11, 13, 11, 19, 20)","[[(4, 3)], [1]]"
4,5,"(7, 8, 11, 6, 4, 1, 3, 0)","(13, 14, 14, 12, 11, 17, 16, 20)","[[(4, 4)], [1]]"
5,0,"(1, 7)","(11, 10)","[[], [1]]"
5,1,"(6, 4, 8, 10, 1)","(14, 17, 11, 14, 12)","[[(5, 0)], [1]]"
5,2,"(1, 3, 8, 7, 5, 10, 6, 2, 11)","(20, 18, 20, 20, 15, 11, 12, 14, 10)","[[(5, 1)], [1]]"
5,3,"(9, 2, 1, 4, 8)","(10, 10, 13, 20, 14)","[[(5, 2)], [1]]"
5,4,"(5, 0, 9, 2, 8, 6, 10, 3, 1, 11, 7, 4)","(18, 15, 15, 19, 10, 19, 20, 17, 20, 17, 20, 16)","[[(5, 3)], [1]]"
5,5,"(6, 11)","(15, 18)","[[(5, 4)], [1]]"
6,0,"(9, 2, 4, 11, 7, 5, 0, 8, 6)","(12, 13, 16, 19, 14, 10, 12, 12, 14)","[[], [1]]"
6,1,"(7, 0, 2, 5, 4, 1)","(15, 15, 15, 11, 15, 19)","[[(6, 0)], [1]]"
6,2,"(3, 10, 9, 1, 5, 6, 4, 11, 7)","(10, 10, 14, 12, 12, 19, 14, 15, 16)","[[(6, 1)], [1]]"
6,3,"(0, 2, 10, 6)","(18, 12, 14, 11)","[[(6, 2)], [1]]"
6,4,"(5, 2, 4, 11, 0, 9, 8, 1, 7, 10)","(17, 13, 10, 14, 12, 18, 11, 14, 16, 15)","[[(6, 3)], [1]]"
6,5,"(10, 9, 7, 8, 11, 2, 6, 3, 0)","(14, 16, 11, 11, 18, 17, 17, 15, 15)","[[(6, 4)], [1]]"
7,0,"(7, 2, 10, 5, 3, 9, 1, 6, 4, 8)","(11, 17, 11, 17, 16, 10, 14, 15, 20, 12)","[[], [1]]"
7,1,"(0, 6, 8, 9, 5)","(12, 20, 19, 16, 20)","[[(7, 0)], [1]]"
7,2,"(6, 9, 11, 1, 2, 10, 5, 3)","(11, 11, 11, 13, 13, 10, 16, 10)","[[(7, 1)], [1]]"
7,3,"(2, 9)","(11, 16)","[[(7, 2)], [1]]"
7,4,"(1, 0, 2, 10, 9, 11, 5, 3, 7, 4)","(18, 18, 14, 17, 17, 19, 20, 13, 16, 11)","[[(7, 3)], [1]]"
7,5,"(9, 2, 8, 4, 6, 1, 11)","(15, 13, 14, 19, 12, 16, 13)","[[(7, 4)], [1]]"
8,0,"(4, 7, 10, 5, 9, 2)","(15, 11, 11, 10, 18, 17)","[[], [1]]"
8,1,"(11, 5, 8, 2, 7, 9, 4, 1, 6, 3)","(20, 13, 11, 17, 16, 14, 13, 20, 10, 13)","[[(8, 0)], [1]]"
8,2,"(7, 6, 0, 8)","(19, 12, 11, 13)","[[(8, 1)], [1]]"
8,3,"(5, 0, 11, 6, 8)","(17, 16, 15, 18, 12)","[[(8, 2)], [1]]"
8,4,"(1, 7, 10)","(11, 19, 17)","[[(8, 3)], [1]]"
8,5,"(4, 8, 11, 2)","(12, 19, 16, 20)","[[(8, 4)], [1]]"
9,0,"(7, 1, 8)","(20, 16, 18)","[[], [1]]"
9,1,"(5,)","(17,)","[[(9, 0)], [1]]"
9,2,"(4, 9, 7, 6, 3, 2, 10, 5, 0, 1)","(20, 15, 17, 17, 20, 20, 13, 18, 19, 13)","[[(9, 1)], [1]]"
9,3,"(1, 0, 5, 2, 10, 7, 9, 4, 6, 8, 3)","(10, 15, 15, 15, 10, 18, 12, 14, 19, 12, 16)","[[(9, 2)], [1]]"
9,4,"(0, 2, 1, 8, 3)","(19, 14, 17, 11, 11)","[[(9, 3)], [1]]"
9,5,"(6, 11, 4, 2, 1, 0, 7, 9)","(18, 10, 11, 13, 12, 10, 14, 10)","[[(9, 4)], [1]]"
