kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2)","(12, 13)","[[], [1]]"
0,1,"(1, 6)","(12, 10)","[[(0, 0)], [1]]"
0,2,"(5,)","(19,)","[[(0, 1)], [1]]"
0,3,"(2, 5)","(20, 14)","[[(0, 2)], [1]]"
1,0,"(4, 5)","(17, 11)","[[], [1]]"
1,1,"(4, 2)","(11, 20)","[[(1, 0)], [1]]"
1,2,"(6,)","(12,)","[[(1, 1)], [1]]"
1,3,"(5, 1)","(12, 10)","[[(1, 2)], [1]]"
2,0,"(2, 3)","(11, 18)","[[], [1]]"
2,1,"(5, 6)","(20, 16)","[[(2, 0)], [1]]"
2,2,"(1,)","(18,)","[[(2, 1)], [1]]"
2,3,"(7,)","(14,)","[[(2, 2)], [1]]"
3,0,"(1,)","(18,)","[[], [1]]"
3,1,"(6, 5)","(13, 13)","[[(3, 0)], [1]]"
3,2,"(2,)","(20,)","[[(3, 1)], [1]]"
3,3,"(4, 3)","(19, 16)","[[(3, 2)], [1]]"
4,0,"(6, 7)","(19, 14)","[[], [1]]"
4,1,"(4,)","(17,)","[[(4, 0)], [1]]"
4,2,"(0, 4)","(17, 20)","[[(4, 1)], [1]]"
4,3,"(5,)","(20,)","[[(4, 2)], [1]]"
5,0,"(6,)","(15,)","[[], [1]]"
5,1,"(1,)","(11,)","[[(5, 0)], [1]]"
5,2,"(1,)","(15,)","[[(5, 1)], [1]]"
5,3,"(1,)","(19,)","[[(5, 2)], [1]]"
6,0,"(1, 2)","(11, 17)","[[], [1]]"
6,1,"(7,)","(19,)","[[(6, 0)], [1]]"
6,2,"(6,)","(20,)","[[(6, 1)], [1]]"
6,3,"(2, 7)","(15, 13)","[[(6, 2)], [1]]"
7,0,"(2, 3)","(13, 10)","[[], [1]]"
7,1,"(4,)","(14,)","[[(7, 0)], [1]]"
7,2,"(2, 6)","(11, 13)","[[(7, 1)], [1]]"
7,3,"(5, 7)","(15, 12)","[[(7, 2)], [1]]"
8,0,"(10,)","(15,)","[[(6, 3), (0, 3)], [1, 1]]"
8,1,"(8, 9)","(16, 10)","[[(8, 0), (2, 3)], [2, 1]]"
8,2,"(9,)","(11,)","[[(8, 1), (4, 3)], [2, 1]]"
9,0,"(9, 8)","(12, 13)","[[(7, 3), (3, 3)], [1, 1]]"
9,1,"(8, 10)","(10, 19)","[[(5, 3), (1, 3)], [1, 1]]"
9,2,"(10,)","(20,)","[[(9, 0), (9, 1)], [1, 2]]"
10,0,"(9, 10)","(18, 19)","[[(2, 3), (7, 3)], [1, 1]]"
10,1,"(8, 11)","(20, 11)","[[(10, 0), (1, 3)], [1, 2]]"
11,0,"(9,)","(10,)","[[(4, 3), (7, 3)], [1, 2]]"
11,1,"(8, 10)","(11, 20)","[[(11, 0), (5, 3)], [1, 1]]"
