kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2, 1, 7, 3, 0, 5, 4)","(20, 15, 17, 18, 11, 15, 16, 15)","[[], [1]]"
0,1,"(1, 6, 3, 7, 0, 4, 2, 5)","(19, 20, 13, 18, 17, 17, 18, 14)","[[(0, 0)], [1]]"
0,2,"(5, 2, 3, 4, 7, 0, 6, 1)","(10, 18, 10, 11, 16, 20, 20, 10)","[[(0, 1)], [1]]"
0,3,"(2, 5, 6, 7, 3, 4, 1, 0)","(19, 17, 15, 13, 15, 11, 13, 19)","[[(0, 2)], [1]]"
1,0,"(4, 5, 1, 6, 3, 2, 0, 7)","(13, 13, 12, 18, 17, 11, 11, 15)","[[], [1]]"
1,1,"(4, 2, 7, 1, 0, 6, 3, 5)","(18, 17, 11, 14, 18, 14, 11, 18)","[[(1, 0)], [1]]"
1,2,"(6, 1, 5, 3, 4, 2, 0, 7)","(15, 18, 13, 19, 18, 19, 14, 17)","[[(1, 1)], [1]]"
1,3,"(5, 1, 3, 6, 0, 7, 4, 2)","(11, 19, 16, 15, 19, 13, 14, 12)","[[(1, 2)], [1]]"
2,0,"(2, 3, 7, 1, 4, 0, 6, 5)","(13, 12, 10, 19, 20, 14, 17, 11)","[[], [1]]"
2,1,"(5, 6, 3, 4, 1, 0, 7, 2)","(11, 20, 12, 12, 10, 11, 18, 20)","[[(2, 0)], [1]]"
2,2,"(1, 4, 0, 5, 2, 7, 6, 3)","(16, 18, 14, 18, 13, 13, 20, 19)","[[(2, 1)], [1]]"
2,3,"(7, 6, 0, 2, 1, 4, 5, 3)","(16, 19, 14, 17, 17, 20, 20, 15)","[[(2, 2)], [1]]"
3,0,"(1, 2, 0, 3, 5, 7, 6, 4)","(11, 15, 19, 11, 17, 19, 20, 15)","[[], [1]]"
3,1,"(6, 5, 1, 2, 3, 7, 0, 4)","(13, 13, 10, 14, 11, 13, 15, 12)","[[(3, 0)], [1]]"
3,2,"(2, 4, 6, 3, 7, 1, 0, 5)","(15, 16, 10, 11, 12, 13, 10, 19)","[[(3, 1)], [1]]"
3,3,"(4, 3, 7, 2, 1, 0, 6, 5)","(20, 18, 19, 20, 11, 10, 11, 20)","[[(3, 2)], [1]]"
4,0,"(6, 7, 1, 4, 2, 3, 5, 0)","(13, 19, 19, 11, 16, 11, 15, 11)","[[], [1]]"
4,1,"(4, 6, 3, 2, 0, 1, 5, 7)","(10, 19, 10, 13, 12, 11, 17, 13)","[[(4, 0)], [1]]"
4,2,"(0, 4, 6, 5, 1, 7, 3, 2)","(10, 20, 10, 18, 16, 19, 11, 14)","[[(4, 1)], [1]]"
4,3,"(5, 1, 0, 4, 2, 7, 3, 6)","(11, 13, 11, 20, 14, 15, 16, 12)","[[(4, 2)], [1]]"
5,0,"(6, 4, 0, 5, 7, 1, 3, 2)","(10, 18, 17, 10, 19, 11, 16, 13)","[[], [1]]"
5,1,"(1, 4, 5, 2, 7, 0, 3, 6)","(14, 15, 17, 19, 12, 20, 13, 10)","[[(5, 0)], [1]]"
5,2,"(1, 4, 7, 5, 2, 3, 0, 6)","(20, 12, 12, 15, 18, 14, 11, 19)","[[(5, 1)], [1]]"
5,3,"(1, 6, 4, 3, 2, 7, 5, 0)","(17, 20, 12, 10, 17, 20, 16, 19)","[[(5, 2)], [1]]"
6,0,"(1, 2, 7, 4, 6, 0, 5, 3)","(18, 14, 20, 15, 16, 20, 14, 12)","[[], [1]]"
6,1,"(7, 5, 1, 6, 3, 4, 0, 2)","(18, 10, 17, 11, 15, 10, 18, 14)","[[(6, 0)], [1]]"
6,2,"(6, 1, 2, 7, 5, 3, 4, 0)","(12, 13, 17, 15, 19, 14, 20, 15)","[[(6, 1)], [1]]"
6,3,"(2, 7, 6, 4, 0, 3, 5, 1)","(19, 20, 19, 12, 14, 16, 16, 20)","[[(6, 2)], [1]]"
7,0,"(2, 3, 7, 4, 0, 1, 6, 5)","(11, 10, 19, 13, 15, 12, 13, 13)","[[], [1]]"
7,1,"(4, 2, 6, 0, 1, 3, 7, 5)","(20, 17, 16, 20, 19, 16, 10, 16)","[[(7, 0)], [1]]"
7,2,"(2, 6, 5, 4, 0, 1, 7, 3)","(19, 16, 20, 10, 12, 17, 11, 14)","[[(7, 1)], [1]]"
7,3,"(5, 7, 2, 4, 1, 3, 6, 0)","(12, 17, 18, 17, 18, 19, 10, 10)","[[(7, 2)], [1]]"
8,0,"(10, 11, 9, 8)","(17, 15, 14, 17)","[[(6, 3), (0, 3)], [1, 2]]"
8,1,"(8, 9, 10, 11)","(10, 16, 13, 18)","[[(8, 0), (2, 3)], [1, 2]]"
8,2,"(9, 8, 10, 11)","(20, 11, 12, 10)","[[(8, 1), (4, 3)], [1, 1]]"
9,0,"(9, 8, 11, 10)","(16, 20, 16, 15)","[[(7, 3), (3, 3)], [2, 1]]"
9,1,"(8, 10, 11, 9)","(10, 13, 10, 10)","[[(5, 3), (1, 3)], [1, 1]]"
9,2,"(10, 9, 8, 11)","(20, 18, 19, 11)","[[(9, 0), (9, 1)], [1, 2]]"
10,0,"(9, 10, 11, 8)","(13, 11, 19, 20)","[[(2, 3), (7, 3)], [2, 2]]"
10,1,"(8, 11, 9, 10)","(13, 14, 14, 12)","[[(10, 0), (1, 3)], [1, 2]]"
11,0,"(9, 10, 11, 8)","(11, 17, 16, 20)","[[(4, 3), (7, 3)], [2, 2]]"
11,1,"(8, 10, 9, 11)","(11, 10, 14, 17)","[[(11, 0), (5, 3)], [2, 1]]"
