kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2, 1, 7, 3, 0)","(21, 22, 21, 12, 49, 26)","[[], [1]]"
0,1,"(1, 6, 3, 7, 0, 4, 2, 5)","(40, 14, 15, 18, 19, 12, 15, 44)","[[(0, 0)], [1]]"
0,2,"(5, 2)","(35, 43)","[[(0, 1)], [1]]"
0,3,"(2, 5, 6, 7, 3, 4)","(27, 43, 25, 23, 47, 36)","[[(0, 2)], [1]]"
1,0,"(4, 5, 1, 6, 3, 2, 0)","(47, 27, 38, 41, 32, 15, 30)","[[], [1]]"
1,1,"(4, 2, 7, 1, 0, 6)","(49, 17, 41, 47, 50, 31)","[[(1, 0)], [1]]"
1,2,"(6, 1, 5, 3)","(22, 25, 11, 27)","[[(1, 1)], [1]]"
1,3,"(5, 1, 3, 6, 0, 7, 4, 2)","(17, 24, 33, 20, 31, 37, 13, 16)","[[(1, 2)], [1]]"
2,0,"(2, 3, 7, 1, 4, 0, 6, 5)","(19, 24, 12, 46, 50, 44, 48, 14)","[[], [1]]"
2,1,"(5, 6, 3, 4, 1)","(11, 17, 50, 22, 48)","[[(2, 0)], [1]]"
2,2,"(1,)","(46,)","[[(2, 1)], [1]]"
2,3,"(7,)","(17,)","[[(2, 2)], [1]]"
3,0,"(1, 2)","(35, 15)","[[], [1]]"
3,1,"(6, 5, 1, 2, 3, 7, 0)","(33, 17, 12, 48, 11, 22, 21)","[[(3, 0)], [1]]"
3,2,"(2,)","(17,)","[[(3, 1)], [1]]"
3,3,"(4, 3, 7, 2, 1, 0, 6, 5)","(40, 23, 13, 11, 44, 37, 49, 16)","[[(3, 2)], [1]]"
4,0,"(6, 7, 1, 4, 2, 3)","(26, 14, 24, 14, 29, 32)","[[], [1]]"
4,1,"(4, 6, 3, 2)","(37, 21, 13, 42)","[[(4, 0)], [1]]"
4,2,"(0, 4, 6, 5, 1, 7)","(39, 12, 48, 16, 35, 22)","[[(4, 1)], [1]]"
4,3,"(5, 1)","(26, 32)","[[(4, 2)], [1]]"
5,0,"(6, 4, 0, 5)","(40, 46, 20, 23)","[[], [1]]"
5,1,"(1, 4, 5, 2)","(13, 20, 20, 31)","[[(5, 0)], [1]]"
5,2,"(1, 4, 7, 5)","(43, 26, 17, 48)","[[(5, 1)], [1]]"
5,3,"(1, 6, 4)","(38, 21, 10)","[[(5, 2)], [1]]"
6,0,"(1, 2, 7, 4, 6, 0, 5, 3)","(40, 36, 46, 42, 29, 32, 34, 26)","[[], [1]]"
6,1,"(7, 5)","(19, 45)","[[(6, 0)], [1]]"
6,2,"(6, 1)","(10, 39)","[[(6, 1)], [1]]"
6,3,"(2, 7, 6, 4, 0, 3)","(15, 31, 12, 44, 27, 18)","[[(6, 2)], [1]]"
7,0,"(2, 3, 7, 4, 0, 1, 6, 5)","(25, 40, 32, 49, 28, 32, 47, 50)","[[], [1]]"
7,1,"(4, 2)","(49, 18)","[[(7, 0)], [1]]"
7,2,"(2, 6, 5, 4, 0)","(29, 34, 36, 15, 10)","[[(7, 1)], [1]]"
7,3,"(5, 7, 2, 4, 1)","(48, 22, 31, 20, 25)","[[(7, 2)], [1]]"
8,0,"(10,)","(24,)","[[(6, 3), (0, 3)], [2, 1]]"
8,1,"(8, 9, 10)","(50, 38, 34)","[[(8, 0), (2, 3)], [2, 1]]"
8,2,"(9, 8)","(46, 36)","[[(8, 1), (4, 3)], [1, 1]]"
9,0,"(9, 8, 11)","(12, 35, 46)","[[(7, 3), (3, 3)], [1, 2]]"
9,1,"(8, 10, 11, 9)","(36, 12, 20, 38)","[[(5, 3), (1, 3)], [2, 2]]"
9,2,"(10,)","(14,)","[[(9, 0), (9, 1)], [1, 1]]"
10,0,"(9, 10, 11, 8)","(26, 20, 38, 43)","[[(2, 3), (7, 3)], [1, 1]]"
10,1,"(8, 11, 9)","(41, 45, 48)","[[(10, 0), (1, 3)], [1, 1]]"
11,0,"(9, 10)","(10, 12)","[[(4, 3), (7, 3)], [1, 1]]"
11,1,"(8, 10, 9)","(41, 30, 29)","[[(11, 0), (5, 3)], [2, 2]]"
