kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2, 1, 7, 3, 0)","(12, 10, 19, 20, 14, 17)","[[], [1]]"
0,1,"(1, 6, 3, 7, 0, 4, 2, 5)","(11, 11, 20, 12, 12, 10, 11, 18)","[[(0, 0)], [1]]"
0,2,"(5, 2)","(20, 16)","[[(0, 1)], [1]]"
0,3,"(2, 5, 6, 7, 3, 4)","(18, 14, 18, 13, 13, 20)","[[(0, 2)], [1]]"
1,0,"(4, 5, 1, 6, 3, 2, 0)","(19, 16, 19, 14, 17, 17, 20)","[[], [1]]"
1,1,"(4, 2, 7, 1, 0, 6)","(20, 15, 11, 15, 19, 11)","[[(1, 0)], [1]]"
1,2,"(6, 1, 5, 3)","(17, 19, 20, 15)","[[(1, 1)], [1]]"
1,3,"(5, 1, 3, 6, 0, 7, 4, 2)","(13, 13, 10, 14, 11, 13, 15, 12)","[[(1, 2)], [1]]"
2,0,"(2, 3, 7, 1, 4, 0, 6, 5)","(15, 16, 10, 11, 12, 13, 10, 19)","[[], [1]]"
2,1,"(5, 6, 3, 4, 1)","(20, 18, 19, 20, 11)","[[(2, 0)], [1]]"
2,2,"(1,)","(10,)","[[(2, 1)], [1]]"
2,3,"(7,)","(11,)","[[(2, 2)], [1]]"
3,0,"(1, 2)","(20, 13)","[[], [1]]"
3,1,"(6, 5, 1, 2, 3, 7, 0)","(19, 19, 11, 16, 11, 15, 11)","[[(3, 0)], [1]]"
3,2,"(2,)","(10,)","[[(3, 1)], [1]]"
3,3,"(4, 3, 7, 2, 1, 0, 6, 5)","(19, 10, 13, 12, 11, 17, 13, 10)","[[(3, 2)], [1]]"
4,0,"(6, 7, 1, 4, 2, 3)","(20, 10, 18, 16, 19, 11)","[[], [1]]"
4,1,"(4, 6, 3, 2)","(14, 11, 13, 11)","[[(4, 0)], [1]]"
4,2,"(0, 4, 6, 5, 1, 7)","(20, 14, 15, 16, 12, 10)","[[(4, 1)], [1]]"
4,3,"(5, 1)","(18, 17)","[[(4, 2)], [1]]"
5,0,"(6, 4, 0, 5)","(10, 19, 11, 16)","[[], [1]]"
5,1,"(1, 4, 5, 2)","(13, 14, 15, 17)","[[(5, 0)], [1]]"
5,2,"(1, 4, 7, 5)","(19, 12, 20, 13)","[[(5, 1)], [1]]"
5,3,"(1, 6, 4)","(10, 20, 12)","[[(5, 2)], [1]]"
6,0,"(1, 2, 7, 4, 6, 0, 5, 3)","(12, 15, 18, 14, 11, 19, 17, 20)","[[], [1]]"
6,1,"(7, 5)","(12, 10)","[[(6, 0)], [1]]"
6,2,"(6, 1)","(17, 20)","[[(6, 1)], [1]]"
6,3,"(2, 7, 6, 4, 0, 3)","(16, 19, 18, 14, 20, 15)","[[(6, 2)], [1]]"
7,0,"(2, 3, 7, 4, 0, 1, 6, 5)","(16, 20, 14, 12, 18, 10, 17, 11)","[[], [1]]"
7,1,"(4, 2)","(15, 10)","[[(7, 0)], [1]]"
7,2,"(2, 6, 5, 4, 0)","(18, 14, 12, 13, 17)","[[(7, 1)], [1]]"
7,3,"(5, 7, 2, 4, 1)","(15, 19, 14, 20, 15)","[[(7, 2)], [1]]"
8,0,"(10,)","(19,)","[[(6, 3), (0, 3)], [1, 2]]"
8,1,"(8, 9, 10)","(20, 19, 12)","[[(2, 3), (4, 3)], [1, 2]]"
8,2,"(9, 8)","(14, 16)","[[(8, 0), (8, 1)], [2, 1]]"
9,0,"(9, 8, 11)","(16, 20, 11)","[[(7, 3), (3, 3)], [1, 2]]"
9,1,"(8, 10, 11, 9)","(10, 19, 13, 15)","[[(5, 3), (1, 3)], [2, 2]]"
9,2,"(10,)","(12,)","[[(9, 0), (9, 1)], [2, 1]]"
10,0,"(9, 10, 11, 8)","(13, 13, 20, 17)","[[(2, 3), (7, 3)], [2, 1]]"
10,1,"(8, 11, 9)","(16, 20, 19)","[[(1, 3), (0, 3)], [1, 1]]"
10,2,"(9, 10)","(16, 10)","[[(10, 0), (10, 1)], [1, 2]]"
11,0,"(8, 10, 9)","(16, 19, 16)","[[(2, 3), (7, 3)], [2, 2]]"
11,1,"(11, 8)","(20, 10)","[[(0, 3), (5, 3)], [1, 1]]"
11,2,"(8, 10)","(12, 17)","[[(11, 0), (11, 1)], [1, 1]]"
