kind,task,machine_selectable,process_time,cost_count
0,0,"(8, 7, 0, 9, 4)","(139, 105, 97, 225, 226)","[[], 1]"
0,1,"(8, 2, 5, 3)","(330, 218, 135, 55)","[[(0, 0)], 1]"
0,2,"(9, 5, 6, 3)","(235, 47, 374, 383)","[[(0, 1)], 1]"
1,0,"(7,)","(50,)","[[], 1]"
1,1,"(3, 1, 6, 2, 8, 5, 7, 4, 9, 0)","(249, 62, 348, 337, 348, 399, 87, 144, 111, 142)","[[(1, 0)], 1]"
1,2,"(4, 8, 5, 9)","(52, 223, 160, 263)","[[(1, 1)], 1]"
1,3,"(2, 3, 8, 1, 9)","(341, 259, 387, 255, 71)","[[(1, 2)], 1]"
1,4,"(6, 7, 4, 1, 2, 8)","(356, 108, 397, 339, 187, 313)","[[(1, 3)], 1]"
2,0,"(6, 5, 1, 0)","(209, 65, 218, 274)","[[], 1]"
2,1,"(6, 2, 9, 8, 5)","(62, 156, 301, 146, 185)","[[(2, 0)], 1]"
2,2,"(9, 4)","(152, 201)","[[(2, 1)], 1]"
2,3,"(6, 8, 0, 1)","(153, 73, 216, 70)","[[(2, 2)], 1]"
2,4,"(4, 9, 1, 2, 0, 7, 6, 8, 3)","(157, 337, 386, 219, 62, 174, 259, 277, 379)","[[(2, 3)], 1]"
3,0,"(3, 8)","(361, 263)","[[], 1]"
3,1,"(1, 2, 9, 6, 5, 7, 0)","(197, 115, 282, 296, 40, 103, 289)","[[(3, 0)], 1]"
3,2,"(0, 7, 2, 6, 1, 5, 9, 3, 4, 8)","(78, 324, 275, 388, 242, 323, 219, 220, 45, 160)","[[(3, 1)], 1]"
3,3,"(6, 2)","(237, 71)","[[(3, 2)], 1]"
4,0,"(0, 1, 6, 5, 3, 9)","(181, 400, 320, 125, 344, 172)","[[], 1]"
4,1,"(7,)","(181,)","[[(4, 0)], 1]"
4,2,"(5, 2, 1, 8, 3, 6, 9)","(220, 310, 284, 117, 98, 47, 254)","[[(4, 1)], 1]"
4,3,"(8, 3, 5)","(118, 45, 68)","[[(4, 2)], 1]"
4,4,"(7, 4)","(88, 148)","[[(4, 3)], 1]"
5,0,"(4, 0, 5, 1, 3, 2, 6, 7)","(213, 173, 81, 145, 328, 86, 207, 386)","[[], 1]"
5,1,"(1, 8, 3, 9, 7, 6, 4)","(87, 365, 108, 54, 116, 294, 197)","[[(5, 0)], 1]"
5,2,"(7, 5, 3, 4, 2, 6, 9)","(378, 267, 160, 92, 130, 348, 201)","[[(5, 1)], 1]"
5,3,"(1, 6, 4, 9, 5, 3, 8)","(77, 128, 95, 249, 400, 205, 281)","[[(5, 2)], 1]"
5,4,"(0,)","(171,)","[[(5, 3)], 1]"
6,0,"(8, 3, 4, 2)","(177, 250, 217, 198)","[[], 1]"
6,1,"(9, 1, 0)","(274, 73, 262)","[[(6, 0)], 1]"
6,2,"(3, 9, 2, 8, 1, 7, 0, 4, 5, 6)","(209, 159, 351, 392, 136, 169, 251, 162, 132, 372)","[[(6, 1)], 1]"
7,0,"(5, 4, 2, 3, 7)","(51, 140, 117, 92, 232)","[[], 1]"
7,1,"(8, 0)","(182, 66)","[[(7, 0)], 1]"
7,2,"(6, 8, 9, 0, 2)","(200, 381, 206, 239, 352)","[[(7, 1)], 1]"
7,3,"(2, 4, 9, 0, 5, 8, 7)","(330, 65, 139, 309, 209, 43, 249)","[[(7, 2)], 1]"
8,0,"(8,)","(202,)","[[], 1]"
8,1,"(5,)","(310,)","[[(8, 0)], 1]"
8,2,"(7, 3, 2, 4, 0)","(370, 250, 400, 345, 294)","[[(8, 1)], 1]"
8,3,"(0, 2)","(107, 146)","[[(8, 2)], 1]"
9,0,"(0,)","(168,)","[[], 1]"
9,1,"(9, 1, 7, 3)","(68, 282, 183, 81)","[[(9, 0)], 1]"
9,2,"(7, 8, 9, 0, 3, 5, 4, 6)","(220, 281, 82, 256, 117, 281, 42, 110)","[[(9, 1)], 1]"
9,3,"(0, 3, 7, 6, 2, 4, 9, 8)","(293, 288, 79, 247, 105, 66, 343, 79)","[[(9, 2)], 1]"
9,4,"(9, 0, 7, 4, 2, 1, 3)","(42, 76, 368, 250, 289, 251, 132)","[[(9, 3)], 1]"
10,0,"(10, 11, 13, 12, 14)","(392, 186, 253, 355, 212)","[[(1, 4), (4, 4)], [3, 2]]"
10,1,"(10,)","(88,)","[[(10, 0), (2, 4)], [3, 2]]"
10,2,"(13, 10, 14, 12, 11)","(166, 116, 276, 55, 263)","[[(10, 1), (6, 2)], [1, 2]]"
11,0,"(11, 14, 13, 12, 10)","(131, 111, 256, 213, 160)","[[(3, 3), (9, 4)], [1, 1]]"
11,1,"(10,)","(275,)","[[(11, 0), (5, 4)], [2, 1]]"
12,0,"(13, 12)","(205, 305)","[[(7, 3), (8, 3)], [1, 2]]"
12,1,"(13, 10)","(219, 229)","[[(12, 0), (0, 2)], [1, 1]]"
13,0,"(12, 11, 10)","(129, 131, 306)","[[(3, 3), (6, 2)], [2, 2]]"
13,1,"(14, 10, 13, 12, 11)","(142, 341, 70, 123, 149)","[[(13, 0), (0, 2)], [3, 3]]"
