instance,shift,fluid_lb,fnirl_best_of_9,best_model,avg_decision_ms,best_pdr,best_rule,impr_vs_pdr_pct,gap_to_lb_pct
D1,Shift-PT,420.6,616.0,8_4_6_12_6_4,6.22,627.0,SPT,1.8,46.5
D2,Shift-PT,841.2,1106.0,8_4_4_8_4_4,7.15,1150.0,SPT,3.8,31.5
D3,Shift-PT,1261.8,1577.0,8_4_4_8_4_4,7.45,1789.0,SPT,11.9,25.0
D4,Shift-alpha,1716.6,1892.0,8_4_6_12_6_4,7.78,2185.0,FIFO,13.4,10.2
D5,Shift-alpha,3433.2,3888.0,8_4_2_4_2_4,7.72,4349.0,FIFO,10.6,13.2
D6,Shift-alpha,5149.8,5708.0,8_4_6_12_6_4,8.13,6455.0,FIFO,11.6,10.8
D7,Shift-BOM,390.1,479.0,8_4_6_12_6_4,7.72,541.0,FIFO,11.5,22.8
D8,Shift-BOM,780.2,895.0,8_4_4_8_4_4,9.32,1047.0,SPT,14.5,14.7
D9,Shift-BOM,1170.3,1310.0,8_4_4_8_4_6,9.3,1552.0,SPT,15.6,11.9
D10,Shift-Elig(sparse),915.9,1048.0,8_4_4_8_4_6,4.62,1123.0,FIFO,6.7,14.4
D11,Shift-Elig(sparse),1373.8,1563.0,8_4_2_4_2_6,4.64,1637.0,FIFO,4.5,13.8
D12,Shift-Elig(dense),606.6,678.0,8_4_6_12_6_2,13.5,680.0,SPT,0.3,11.8
