instance,shift,op_types,total_units,fluid_lb,pdr_SPT,pdr_FIFO,pdr_MRT,pdr_MRT_SPT,pdr_MRT_FIFO,best_pdr,best_rule
D1,Shift-PT,42,216,420.6,627,757,807,746,786,627,SPT
D2,Shift-PT,42,432,841.2,1150,1431,1448,1448,1448,1150,SPT
D3,Shift-PT,42,648,1261.8,1789,2036,2226,2190,2220,1789,SPT
D4,Shift-alpha,42,1212,1716.6,2278,2185,2310,2300,2303,2185,FIFO
D5,Shift-alpha,42,2424,3433.2,4536,4349,4588,4581,4585,4349,FIFO
D6,Shift-alpha,42,3636,5149.8,6767,6455,6865,6863,6862,6455,FIFO
D7,Shift-BOM,44,286,390.1,556,541,584,581,581,541,FIFO
D8,Shift-BOM,44,572,780.2,1047,1062,1150,1147,1152,1047,SPT
D9,Shift-BOM,44,858,1170.3,1552,1578,1697,1692,1694,1552,SPT
D10,Shift-Elig(sparse),42,460,915.9,1232,1123,1150,1136,1141,1123,FIFO
D11,Shift-Elig(sparse),42,690,1373.8,1828,1637,1709,1709,1709,1637,FIFO
D12,Shift-Elig(dense),42,496,606.6,680,877,872,864,872,680,SPT
